"","gender","age","year","improvement"
"185","female",99,1951,-0.0127
"186","female",100,1951,-0.0119
"187","female",101,1951,-0.0111
"188","female",102,1951,-0.0103
"189","female",103,1951,-0.0095
"190","female",104,1951,-0.0087
"191","female",105,1951,-0.008
"192","female",106,1951,-0.0072
"193","female",107,1951,-0.0064
"194","female",108,1951,-0.0056
"195","female",109,1951,-0.0048
"196","female",110,1951,-0.004
"197","female",111,1951,-0.0032
"198","female",112,1951,-0.0024
"199","female",113,1951,-0.0016
"200","female",114,1951,-8e-04
"201","female",115,1951,0
"202","female",116,1951,0
"203","female",117,1951,0
"204","female",118,1951,0
"205","female",119,1951,0
"206","female",120,1951,0
"207","male",18,1952,-0.0069
"208","male",19,1952,-0.0069
"209","male",20,1952,-0.0069
"210","male",21,1952,-0.0064
"211","male",22,1952,-0.0044
"212","male",23,1952,-0.0012
"213","male",24,1952,0.0029
"214","male",25,1952,0.0077
"215","male",26,1952,0.0127
"216","male",27,1952,0.0175
"217","male",28,1952,0.0221
"218","male",29,1952,0.026
"219","male",30,1952,0.0293
"220","male",31,1952,0.0318
"221","male",32,1952,0.0336
"222","male",33,1952,0.0348
"223","male",34,1952,0.0355
"224","male",35,1952,0.0356
"225","male",36,1952,0.0352
"226","male",37,1952,0.0345
"227","male",38,1952,0.0334
"228","male",39,1952,0.0321
"229","male",40,1952,0.0307
"230","male",41,1952,0.0292
"231","male",42,1952,0.0277
"232","male",43,1952,0.0262
"233","male",44,1952,0.0247
"234","male",45,1952,0.0233
"235","male",46,1952,0.022
"236","male",47,1952,0.0207
"237","male",48,1952,0.0195
"238","male",49,1952,0.0185
"239","male",50,1952,0.0176
"240","male",51,1952,0.0168
"241","male",52,1952,0.0162
"242","male",53,1952,0.0156
"243","male",54,1952,0.0152
"244","male",55,1952,0.0148
"245","male",56,1952,0.0143
"246","male",57,1952,0.0137
"247","male",58,1952,0.013
"248","male",59,1952,0.0122
"249","male",60,1952,0.0112
"250","male",61,1952,0.0101
"251","male",62,1952,0.0091
"252","male",63,1952,0.008
"253","male",64,1952,0.0071
"254","male",65,1952,0.0064
"255","male",66,1952,0.0059
"256","male",67,1952,0.0057
"257","male",68,1952,0.0058
"258","male",69,1952,0.0061
"259","male",70,1952,0.0066
"260","male",71,1952,0.0072
